specimen_no,record_type,flags,occurrence_no,reid_no,collection_no,specimen_id,is_type,specelt_no,specimen_side,specimen_part,specimen_sex,n_measured,measurement_source,magnification,comments,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
56285,spm,,486494,13282,48722,HNHM Gyn/404,holotype,,right,scapula,,1,table,,,Hungarosaurus tormai,species,66856,,Hungarosaurus tormai,species,66856,86.3,83.6,14093,17.6,47.216702,HU,Veszprém,,based on nearby landmark,4,outcrop,"NE side of an open-pit bauxite mine, Iharkút,Veszprém County, Bakony Mtns., Transdanubian Range, western Hungary. An open-pit bauxite mine in the location of the former village of Iharkút in the Bakony Mountains, Veszprém county, western Hungary (Rabi et al. 2012). Note that not all of the fossils are from the same spot in the mine, but all are from the same stratigraphic level. Includes all the Unit 1 sites, e.g. SZ-6 (S part of the open pit)."
56286,spm,,486494,13282,48722,HNHM Gyn/404,holotype,,right,femur,,1,table,,,Hungarosaurus tormai,species,66856,,Hungarosaurus tormai,species,66856,86.3,83.6,14093,17.6,47.216702,HU,Veszprém,,based on nearby landmark,4,outcrop,"NE side of an open-pit bauxite mine, Iharkút,Veszprém County, Bakony Mtns., Transdanubian Range, western Hungary. An open-pit bauxite mine in the location of the former village of Iharkút in the Bakony Mountains, Veszprém county, western Hungary (Rabi et al. 2012). Note that not all of the fossils are from the same spot in the mine, but all are from the same stratigraphic level. Includes all the Unit 1 sites, e.g. SZ-6 (S part of the open pit)."
56287,spm,,486494,13282,48722,HNHM Gyn/404,holotype,,right,fibula,,1,table,,,Hungarosaurus tormai,species,66856,,Hungarosaurus tormai,species,66856,86.3,83.6,14093,17.6,47.216702,HU,Veszprém,,based on nearby landmark,4,outcrop,"NE side of an open-pit bauxite mine, Iharkút,Veszprém County, Bakony Mtns., Transdanubian Range, western Hungary. An open-pit bauxite mine in the location of the former village of Iharkút in the Bakony Mountains, Veszprém county, western Hungary (Rabi et al. 2012). Note that not all of the fossils are from the same spot in the mine, but all are from the same stratigraphic level. Includes all the Unit 1 sites, e.g. SZ-6 (S part of the open pit)."
56288,spm,,486494,13282,48722,HNHM Gyn/404,holotype,,right,radius,,1,table,,,Hungarosaurus tormai,species,66856,,Hungarosaurus tormai,species,66856,86.3,83.6,14093,17.6,47.216702,HU,Veszprém,,based on nearby landmark,4,outcrop,"NE side of an open-pit bauxite mine, Iharkút,Veszprém County, Bakony Mtns., Transdanubian Range, western Hungary. An open-pit bauxite mine in the location of the former village of Iharkút in the Bakony Mountains, Veszprém county, western Hungary (Rabi et al. 2012). Note that not all of the fossils are from the same spot in the mine, but all are from the same stratigraphic level. Includes all the Unit 1 sites, e.g. SZ-6 (S part of the open pit)."
56289,spm,,647943,39434,70051,AMNH 5461,,,,humerus,,1,table,,,Hypacrosaurus stebingeri,species,64339,,Hypacrosaurus stebingeri,species,64339,83.6,72.1,26966,-112.650658,48.937965,US,Montana,Glacier,based on nearby landmark,6,outcrop,"Glacier County, 30 mi W of Sweet Grass, South Milk River, approx. location of Landslide Butte"
56290,spm,,647943,39434,70051,AMNH 5461,,,,femur,,1,table,,,Hypacrosaurus stebingeri,species,64339,,Hypacrosaurus stebingeri,species,64339,83.6,72.1,26966,-112.650658,48.937965,US,Montana,Glacier,based on nearby landmark,6,outcrop,"Glacier County, 30 mi W of Sweet Grass, South Milk River, approx. location of Landslide Butte"
56291,spm,,647943,39434,70051,AMNH 5461,,,,tibia,,1,table,,,Hypacrosaurus stebingeri,species,64339,,Hypacrosaurus stebingeri,species,64339,83.6,72.1,26966,-112.650658,48.937965,US,Montana,Glacier,based on nearby landmark,6,outcrop,"Glacier County, 30 mi W of Sweet Grass, South Milk River, approx. location of Landslide Butte"
56292,spm,,520732,13459,53133,PIN 2230,holotype,,,humerus,,1,table,,,Procheneosaurus convincens,species,67548,recombined as,Kazaklambia convincens,species,67548,89.8,83.6,26966,69.390282,41.7038,KZ,Ongtustik Qazaqstan,,based on nearby landmark,4,small collection,"45 km N of Tashkent, 10-12 km north of the Dzhilga (=Zhilga, Djilga), Syuk-Syuk wells in the south of the Chimkent region"
56293,spm,,520732,13459,53133,PIN 2230,holotype,,,femur,,1,table,,,Procheneosaurus convincens,species,67548,recombined as,Kazaklambia convincens,species,67548,89.8,83.6,26966,69.390282,41.7038,KZ,Ongtustik Qazaqstan,,based on nearby landmark,4,small collection,"45 km N of Tashkent, 10-12 km north of the Dzhilga (=Zhilga, Djilga), Syuk-Syuk wells in the south of the Chimkent region"
56294,spm,,520732,13459,53133,PIN 2230,holotype,,,tibia,,1,table,,,Procheneosaurus convincens,species,67548,recombined as,Kazaklambia convincens,species,67548,89.8,83.6,26966,69.390282,41.7038,KZ,Ongtustik Qazaqstan,,based on nearby landmark,4,small collection,"45 km N of Tashkent, 10-12 km north of the Dzhilga (=Zhilga, Djilga), Syuk-Syuk wells in the south of the Chimkent region"
56298,spm,,396864,17735,38134,AEHM 2/845,holotype,,,humerus,,1,table,,,Olorotitan arharensis,species,72095,,Olorotitan arharensis,species,72095,72.1,66,26966,130.859451,49.082779,RU,Amur,Arkharinskii,stated in text,seconds,outcrop,"Kundur locality, near town of Obluch'e, Arkharinskii district, Amur region, Yevreyskaya Avtonomnyy Oblast, Russia. On the Vladivostok-Moscow highway (Chita-Khabarovsk highway), 10 km SE of Kundur village\r\n\r\nGodefroit et al. (2012): ""Kundur (N 49deg 04' 57.5""; E 130deg 51' 34.1""), Amur Region, Far Eastern Russia."""
56299,spm,,396864,17735,38134,AEHM 2/845,holotype,,,femur,,1,table,,,Olorotitan arharensis,species,72095,,Olorotitan arharensis,species,72095,72.1,66,26966,130.859451,49.082779,RU,Amur,Arkharinskii,stated in text,seconds,outcrop,"Kundur locality, near town of Obluch'e, Arkharinskii district, Amur region, Yevreyskaya Avtonomnyy Oblast, Russia. On the Vladivostok-Moscow highway (Chita-Khabarovsk highway), 10 km SE of Kundur village\r\n\r\nGodefroit et al. (2012): ""Kundur (N 49deg 04' 57.5""; E 130deg 51' 34.1""), Amur Region, Far Eastern Russia."""
56300,spm,,396864,17735,38134,AEHM 2/845,holotype,,,tibia,,1,table,,,Olorotitan arharensis,species,72095,,Olorotitan arharensis,species,72095,72.1,66,26966,130.859451,49.082779,RU,Amur,Arkharinskii,stated in text,seconds,outcrop,"Kundur locality, near town of Obluch'e, Arkharinskii district, Amur region, Yevreyskaya Avtonomnyy Oblast, Russia. On the Vladivostok-Moscow highway (Chita-Khabarovsk highway), 10 km SE of Kundur village\r\n\r\nGodefroit et al. (2012): ""Kundur (N 49deg 04' 57.5""; E 130deg 51' 34.1""), Amur Region, Far Eastern Russia."""
56301,spm,,519867,0,52895,FWMSH 93B1,holotype,,,skull,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56302,spm,,519867,0,52895,FWMSH 93B1,holotype,,both,scapula,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56303,spm,,519867,0,52895,FWMSH 93B1,holotype,,both,coracoid,,1,table,,"length is actually height, good enough",Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56304,spm,,519867,0,52895,FWMSH 93B1,holotype,,left,humerus,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56305,spm,,519867,0,52895,FWMSH 93B1,holotype,,left,ulna,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56306,spm,,519867,0,52895,FWMSH 93B1,holotype,,left,radius,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56307,spm,,519867,0,52895,FWMSH 93B1,holotype,,left,femur,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56308,spm,,519867,0,52895,FWMSH 93B1,holotype,,left,tibia,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56309,spm,,519867,0,52895,FWMSH 93B1,holotype,,left,fibula,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56310,spm,,519867,0,52895,FWMSH 93B2,,,right,coracoid,,1,table,,"length is actually height, sorry",Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56311,spm,,519867,0,52895,FWMSH 93B2,,,left,humerus,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56312,spm,,519867,0,52895,FWMSH 93B2,,,right,ulna,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56313,spm,,519867,0,52895,FWMSH 93B2,,,right,radius,,1,table,,,Tenontosaurus dossi,species,67272,,Tenontosaurus dossi,species,67272,119.5,113,14257,-97.89389,32.755554,US,Texas,Parker,estimated from map,seconds,small collection,"just W of Weatherford, in dry creek on Doss Ranch, near Milsap"
56315,spm,,149989,22651,13286,SC 57021,holotype,,,skull,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56316,spm,,149989,22651,13286,SC 57021,holotype,,both,humerus,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56317,spm,,149989,22651,13286,SC 57021,holotype,,both,ulna,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56318,spm,,149989,22651,13286,SC 57021,holotype,,both,radius,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56319,spm,,149989,22651,13286,SC 57021,holotype,,,femur,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56320,spm,,149989,22651,13286,SC 57021,holotype,,,tibia,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56321,spm,,149989,22651,13286,SC 57022,,,,ulna,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56322,spm,,149989,22651,13286,SC 57022,,,,radius,,1,table,,,Tethyshadros insularis,species,161198,,Tethyshadros insularis,species,161198,83.6,72.1,31507,13.588611,45.77861,IT,Friuli-Venezia Giulia,Trieste,stated in text,seconds,small collection,in the Duino-Aurisina municipality
56324,spm,,908663,0,102380,PVSJ 560,holotype,,,skull,,1,table,,,Eodromaeus murphi,species,174879,,Eodromaeus murphi,species,174879,237,227,34767,-67.936386,-30.067778,AR,San Juan,,stated in text,seconds,small collection,"30°04'04""S, 67°56'11""W; Valle de la Luna, southern Ischigualasto Provincial Park, San Juan,"
56325,spm,,908663,0,102380,PVSJ 562,,,,humerus,,1,table,,,Eodromaeus murphi,species,174879,,Eodromaeus murphi,species,174879,237,227,34767,-67.936386,-30.067778,AR,San Juan,,stated in text,seconds,small collection,"30°04'04""S, 67°56'11""W; Valle de la Luna, southern Ischigualasto Provincial Park, San Juan,"
56326,spm,,908663,0,102380,PVSJ 562,,,,radius,,1,table,,,Eodromaeus murphi,species,174879,,Eodromaeus murphi,species,174879,237,227,34767,-67.936386,-30.067778,AR,San Juan,,stated in text,seconds,small collection,"30°04'04""S, 67°56'11""W; Valle de la Luna, southern Ischigualasto Provincial Park, San Juan,"
56327,spm,,908663,0,102380,PVSJ 562,,,,femur,,1,table,,,Eodromaeus murphi,species,174879,,Eodromaeus murphi,species,174879,237,227,34767,-67.936386,-30.067778,AR,San Juan,,stated in text,seconds,small collection,"30°04'04""S, 67°56'11""W; Valle de la Luna, southern Ischigualasto Provincial Park, San Juan,"
56328,spm,,908663,0,102380,PVSJ 562,,,,tibia,,1,table,,,Eodromaeus murphi,species,174879,,Eodromaeus murphi,species,174879,237,227,34767,-67.936386,-30.067778,AR,San Juan,,stated in text,seconds,small collection,"30°04'04""S, 67°56'11""W; Valle de la Luna, southern Ischigualasto Provincial Park, San Juan,"
56334,spm,,256434,0,24877,PVSJ 512,holotype,,,skull,,1,table,,,Eoraptor lunensis,species,57454,,Eoraptor lunensis,species,57454,237,227,34767,-68.904999,-31.10111,AR,San Juan,,stated in text,seconds,small collection,"NE edge, Cancha de Bochas, Valle de la Luna, Ischigualasto-Villa Unión Basin, San Juan Province, Argentina"
56335,spm,,256434,0,24877,PVSJ 512,holotype,,,humerus,,1,table,,,Eoraptor lunensis,species,57454,,Eoraptor lunensis,species,57454,237,227,34767,-68.904999,-31.10111,AR,San Juan,,stated in text,seconds,small collection,"NE edge, Cancha de Bochas, Valle de la Luna, Ischigualasto-Villa Unión Basin, San Juan Province, Argentina"
56336,spm,,256434,0,24877,PVSJ 512,holotype,,,radius,,1,table,,,Eoraptor lunensis,species,57454,,Eoraptor lunensis,species,57454,237,227,34767,-68.904999,-31.10111,AR,San Juan,,stated in text,seconds,small collection,"NE edge, Cancha de Bochas, Valle de la Luna, Ischigualasto-Villa Unión Basin, San Juan Province, Argentina"
56337,spm,,256434,0,24877,PVSJ 512,holotype,,,femur,,1,table,,,Eoraptor lunensis,species,57454,,Eoraptor lunensis,species,57454,237,227,34767,-68.904999,-31.10111,AR,San Juan,,stated in text,seconds,small collection,"NE edge, Cancha de Bochas, Valle de la Luna, Ischigualasto-Villa Unión Basin, San Juan Province, Argentina"
56338,spm,,256434,0,24877,PVSJ 512,holotype,,,tibia,,1,table,,,Eoraptor lunensis,species,57454,,Eoraptor lunensis,species,57454,237,227,34767,-68.904999,-31.10111,AR,San Juan,,stated in text,seconds,small collection,"NE edge, Cancha de Bochas, Valle de la Luna, Ischigualasto-Villa Unión Basin, San Juan Province, Argentina"
56339,spm,,790006,0,85486,SAM-PK-K337,,,,skull,,1,table,,,Heterodontosaurus tucki,species,52902,,Heterodontosaurus tucki,species,52902,201.4,192.9,34767,27.433332,-30.566668,ZA,Eastern Cape,Herschel,stated in text,minutes,outcrop,"N slopes of Krommespruit (Kromspruit) Mtn near Voisana (Voyzane), Herschel district. Includes locality ""Site 18a."""
56340,spm,,790006,0,85486,SAM-PK-K337,,,,humerus,,1,table,,,Heterodontosaurus tucki,species,52902,,Heterodontosaurus tucki,species,52902,201.4,192.9,34767,27.433332,-30.566668,ZA,Eastern Cape,Herschel,stated in text,minutes,outcrop,"N slopes of Krommespruit (Kromspruit) Mtn near Voisana (Voyzane), Herschel district. Includes locality ""Site 18a."""
56341,spm,,790006,0,85486,SAM-PK-K337,,,,radius,,1,table,,,Heterodontosaurus tucki,species,52902,,Heterodontosaurus tucki,species,52902,201.4,192.9,34767,27.433332,-30.566668,ZA,Eastern Cape,Herschel,stated in text,minutes,outcrop,"N slopes of Krommespruit (Kromspruit) Mtn near Voisana (Voyzane), Herschel district. Includes locality ""Site 18a."""
56342,spm,,790006,0,85486,SAM-PK-K337,,,,femur,,1,table,,,Heterodontosaurus tucki,species,52902,,Heterodontosaurus tucki,species,52902,201.4,192.9,34767,27.433332,-30.566668,ZA,Eastern Cape,Herschel,stated in text,minutes,outcrop,"N slopes of Krommespruit (Kromspruit) Mtn near Voisana (Voyzane), Herschel district. Includes locality ""Site 18a."""
56343,spm,,790006,0,85486,SAM-PK-K337,,,,tibia,,1,table,,,Heterodontosaurus tucki,species,52902,,Heterodontosaurus tucki,species,52902,201.4,192.9,34767,27.433332,-30.566668,ZA,Eastern Cape,Herschel,stated in text,minutes,outcrop,"N slopes of Krommespruit (Kromspruit) Mtn near Voisana (Voyzane), Herschel district. Includes locality ""Site 18a."""
56344,spm,,520778,13460,53149,PIN N 3042/1,holotype,,,humerus,,1,text,,,Ferganasaurus verzilini,species,67550,,Ferganasaurus verzilini,species,67550,165.3,161.5,14284,72.125,41.333057,KG,Jalal-Abad,,stated in text,seconds,small collection,"near Balabansai, S foothills of Chatkal range, 5 km W of Tashumkyr, N Fergana Valley"
56345,spm,,520778,13460,53149,PIN N 3042/1,holotype,,,ulna,,1,text,,,Ferganasaurus verzilini,species,67550,,Ferganasaurus verzilini,species,67550,165.3,161.5,14284,72.125,41.333057,KG,Jalal-Abad,,stated in text,seconds,small collection,"near Balabansai, S foothills of Chatkal range, 5 km W of Tashumkyr, N Fergana Valley"
56346,spm,,520778,13460,53149,PIN N 3042/1,holotype,,,radius,,1,text,,,Ferganasaurus verzilini,species,67550,,Ferganasaurus verzilini,species,67550,165.3,161.5,14284,72.125,41.333057,KG,Jalal-Abad,,stated in text,seconds,small collection,"near Balabansai, S foothills of Chatkal range, 5 km W of Tashumkyr, N Fergana Valley"
56347,spm,,520778,13460,53149,PIN N 3042/1,holotype,,,femur,,1,text,,,Ferganasaurus verzilini,species,67550,,Ferganasaurus verzilini,species,67550,165.3,161.5,14284,72.125,41.333057,KG,Jalal-Abad,,stated in text,seconds,small collection,"near Balabansai, S foothills of Chatkal range, 5 km W of Tashumkyr, N Fergana Valley"
56348,spm,,520778,13460,53149,PIN N 3042/1,holotype,,,tibia,,1,text,,,Ferganasaurus verzilini,species,67550,,Ferganasaurus verzilini,species,67550,165.3,161.5,14284,72.125,41.333057,KG,Jalal-Abad,,stated in text,seconds,small collection,"near Balabansai, S foothills of Chatkal range, 5 km W of Tashumkyr, N Fergana Valley"
56349,spm,,520778,13460,53149,PIN N 3042/1,holotype,,,fibula,,1,text,,,Ferganasaurus verzilini,species,67550,,Ferganasaurus verzilini,species,67550,165.3,161.5,14284,72.125,41.333057,KG,Jalal-Abad,,stated in text,seconds,small collection,"near Balabansai, S foothills of Chatkal range, 5 km W of Tashumkyr, N Fergana Valley"
56368,spm,,973069,0,49099,UNPSJB-PV 920,,,both,humerus,,1,table,,transverse width of shaft,Epachthosaurus sciuttoi,species,57467,,Epachthosaurus sciuttoi,species,57467,100.5,89.8,19282,-69.616669,-45.316669,AR,Chubut,Sarmiento,based on nearby landmark,5,outcrop,"6 km N of Estancia ""Ochos Hermanos"", Sierra de San bernardo, W of Lago Musters, S-central Chubut province; 150 m from type sites of Epachthosaurus and Xenotarsosaurus"
56369,spm,,973069,0,49099,UNPSJB-PV 920,,,both,ulna,,1,table,,transverse width of shaft,Epachthosaurus sciuttoi,species,57467,,Epachthosaurus sciuttoi,species,57467,100.5,89.8,19282,-69.616669,-45.316669,AR,Chubut,Sarmiento,based on nearby landmark,5,outcrop,"6 km N of Estancia ""Ochos Hermanos"", Sierra de San bernardo, W of Lago Musters, S-central Chubut province; 150 m from type sites of Epachthosaurus and Xenotarsosaurus"
56370,spm,,973069,0,49099,UNPSJB-PV 920,,,both,radius,,1,table,,transverse width of shaft,Epachthosaurus sciuttoi,species,57467,,Epachthosaurus sciuttoi,species,57467,100.5,89.8,19282,-69.616669,-45.316669,AR,Chubut,Sarmiento,based on nearby landmark,5,outcrop,"6 km N of Estancia ""Ochos Hermanos"", Sierra de San bernardo, W of Lago Musters, S-central Chubut province; 150 m from type sites of Epachthosaurus and Xenotarsosaurus"
56371,spm,,973069,0,49099,UNPSJB-PV 920,,,right,femur,,1,table,,transverse width of shaft,Epachthosaurus sciuttoi,species,57467,,Epachthosaurus sciuttoi,species,57467,100.5,89.8,19282,-69.616669,-45.316669,AR,Chubut,Sarmiento,based on nearby landmark,5,outcrop,"6 km N of Estancia ""Ochos Hermanos"", Sierra de San bernardo, W of Lago Musters, S-central Chubut province; 150 m from type sites of Epachthosaurus and Xenotarsosaurus"
56372,spm,,973069,0,49099,UNPSJB-PV 920,,,both,tibia,,1,table,,transverse width of shaft (applies to right side only),Epachthosaurus sciuttoi,species,57467,,Epachthosaurus sciuttoi,species,57467,100.5,89.8,19282,-69.616669,-45.316669,AR,Chubut,Sarmiento,based on nearby landmark,5,outcrop,"6 km N of Estancia ""Ochos Hermanos"", Sierra de San bernardo, W of Lago Musters, S-central Chubut province; 150 m from type sites of Epachthosaurus and Xenotarsosaurus"
56373,spm,,973069,0,49099,UNPSJB-PV 920,,,both,fibula,,1,table,,transverse width of shaft,Epachthosaurus sciuttoi,species,57467,,Epachthosaurus sciuttoi,species,57467,100.5,89.8,19282,-69.616669,-45.316669,AR,Chubut,Sarmiento,based on nearby landmark,5,outcrop,"6 km N of Estancia ""Ochos Hermanos"", Sierra de San bernardo, W of Lago Musters, S-central Chubut province; 150 m from type sites of Epachthosaurus and Xenotarsosaurus"
56374,spm,,471836,0,25074,UA 8656,holotype,,left,scapula,,1,table,,,Rahona ostromi,species,64131,recombined as,Rahonavis ostromi,species,64131,72.1,66,12456,46.583332,-15.9,MG,Mahajanga,,based on political unit,minutes,small collection,"Mahajanga Basin, near village of Berivotra, Madagascar. Coordinates are for Berivotra."
56375,spm,,471836,0,25074,UA 8656,holotype,,right,radius,,1,table,,,Rahona ostromi,species,64131,recombined as,Rahonavis ostromi,species,64131,72.1,66,12456,46.583332,-15.9,MG,Mahajanga,,based on political unit,minutes,small collection,"Mahajanga Basin, near village of Berivotra, Madagascar. Coordinates are for Berivotra."
56376,spm,,471836,0,25074,UA 8656,holotype,,right,ulna,,1,table,,,Rahona ostromi,species,64131,recombined as,Rahonavis ostromi,species,64131,72.1,66,12456,46.583332,-15.9,MG,Mahajanga,,based on political unit,minutes,small collection,"Mahajanga Basin, near village of Berivotra, Madagascar. Coordinates are for Berivotra."
56377,spm,,471836,0,25074,UA 8656,holotype,,both,femur,,1,table,,,Rahona ostromi,species,64131,recombined as,Rahonavis ostromi,species,64131,72.1,66,12456,46.583332,-15.9,MG,Mahajanga,,based on political unit,minutes,small collection,"Mahajanga Basin, near village of Berivotra, Madagascar. Coordinates are for Berivotra."
56378,spm,,471836,0,25074,UA 8656,holotype,,both,tibia,,1,table,,,Rahona ostromi,species,64131,recombined as,Rahonavis ostromi,species,64131,72.1,66,12456,46.583332,-15.9,MG,Mahajanga,,based on political unit,minutes,small collection,"Mahajanga Basin, near village of Berivotra, Madagascar. Coordinates are for Berivotra."
56379,spm,,513185,13232,22665,100/S1Y/76,,,,scapula,,1,table,,,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56380,spm,,513185,13232,22665,101/S1Y/76,,,,coracoid,,1,table,,,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56381,spm,,513185,13232,22665,102/S1Y/76,,,,humerus,,1,table,,,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56382,spm,,513185,13232,22665,106/S1Y/76,,,,radius,,1,table,,,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56383,spm,,513185,13232,22665,107/S1Y/76,,,,ulna,,1,table,,midshaft width,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56384,spm,,513185,13232,22665,111/S1Y/76,,,,femur,,1,table,,shaft width,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56385,spm,,513185,13232,22665,115/S1Y/76,,,,tibia,,1,table,,,Kotasaurus yamanpalliensis,species,66498,,Kotasaurus yamanpalliensis,species,66498,199.5,184.2,13819,79.845581,19.106924,IN,Andhra Pradesh,,estimated from map,6,outcrop,"Yamanapalli (= Yemanapally), in Pranhita-Godavari Valley"
56386,spm,,513479,28133,51970,YPM 2195,,,,scapula,,1,text,,,Thecodontosaurus antiquus,species,56627,,Thecodontosaurus antiquus,species,56627,208.5,201.4,13887,-2.616667,51.469166,UK,England,,stated in text,seconds,small collection,"Durdham Down locality at Quarry Steps, off Belgrave Terrace, Clifton, Redland, Bristol. Grid reference ST 572747. Described in Buckland 1824 as ""by the turnpike-gate on Derdham Down"""
56387,spm,,513479,28133,51970,YPM 2195,,,,humerus,,1,text,,,Thecodontosaurus antiquus,species,56627,,Thecodontosaurus antiquus,species,56627,208.5,201.4,13887,-2.616667,51.469166,UK,England,,stated in text,seconds,small collection,"Durdham Down locality at Quarry Steps, off Belgrave Terrace, Clifton, Redland, Bristol. Grid reference ST 572747. Described in Buckland 1824 as ""by the turnpike-gate on Derdham Down"""
